s_m,ref_line_x_m,ref_line_y_m,ref_line_z_m,theta_rad,mu_rad,phi_rad,omega_x_radpm,omega_y_radpm,omega_z_radpm,track_width_left_m,track_width_right_m
0.000000,-0.027120,0.000001,-0.030301,0.000019,-0.829866,0.000009,-0.000053,-0.001633,-0.000011,8.000000,-8.000004
0.199988,0.107854,0.000003,0.117271,0.000009,-0.829965,0.000003,-0.000076,0.000647,-0.000056,7.999997,-8.000004
0.399976,0.242845,0.000003,0.264826,-0.000002,-0.829642,0.000002,-0.000012,0.002583,-0.000018,7.999997,-8.000003
0.599964,0.377905,0.000003,0.412318,-0.000004,-0.829072,0.000004,0.000012,0.003117,0.000003,7.999997,-8.000003
0.799952,0.513053,0.000002,0.559729,-0.000003,-0.828485,0.000005,0.000007,0.002753,0.000003,7.999998,-8.000002
0.999940,0.648282,0.000002,0.707067,-0.000003,-0.827976,0.000006,0.000002,0.002343,0.000001,7.999998,-8.000002
1.199928,0.783582,0.000002,0.854339,-0.000002,-0.827509,0.000006,0.000000,0.002321,0.000001,7.999998,-8.000002
1.399916,0.918952,0.000001,1.001547,-0.000002,-0.827009,0.000006,0.000002,0.002683,0.000002,7.999999,-8.000001
1.599904,1.054403,0.000001,1.148681,-0.000002,-0.826417,0.000006,0.000001,0.003241,0.000001,7.999999,-8.000001
1.799892,1.189948,0.000001,1.295727,-0.000001,-0.825711,0.000006,0.000001,0.003816,-0.000000,7.999999,-8.000001
1.999880,1.325605,0.000001,1.442670,-0.000001,-0.824896,0.000006,0.000006,0.004335,0.000003,7.999999,-8.000001
2.199868,1.461390,0.000001,1.589496,-0.000000,-0.823983,0.000007,0.000007,0.004791,0.000002,7.999999,-8.000001
2.399856,1.597315,0.000001,1.736192,-0.000000,-0.822983,0.000008,0.000001,0.005217,-0.000002,7.999999,-8.000001
2.599844,1.733393,0.000001,1.882745,-0.000001,-0.821896,0.000009,0.000002,0.005652,-0.000001,7.999999,-8.000001
2.799832,1.869636,0.000000,2.029145,-0.000001,-0.820721,0.000009,0.000003,0.006093,0.000001,8.000000,-8.000000
2.999820,2.006058,0.000000,2.175379,-0.000001,-0.819457,0.000009,0.000001,0.006553,-0.000000,8.000000,-8.000000
3.199808,2.142672,0.000000,2.321433,-0.000001,-0.818099,0.000009,0.000001,0.007026,-0.000000,8.000000,-8.000000
3.399796,2.279490,0.000000,2.467296,-0.000000,-0.816647,0.000010,0.000003,0.007498,0.000000,8.000000,-8.000000
3.599784,2.416527,0.000000,2.612953,-0.000000,-0.815099,0.000010,0.000003,0.007984,0.000000,8.000000,-8.000000
3.799772,2.553797,0.000000,2.758391,-0.000000,-0.813454,0.000011,0.000003,0.008464,0.000000,8.000000,-8.000000
3.999760,2.691312,0.000000,2.903597,-0.000000,-0.811713,0.000012,0.000003,0.008948,0.000000,8.000000,-8.000000
4.199748,2.829087,0.000000,3.048556,-0.000000,-0.809874,0.000012,0.000001,0.009445,-0.000000,8.000000,-8.000000
4.399736,2.967136,0.000000,3.193255,-0.000000,-0.807936,0.000012,0.000000,0.009933,-0.000000,8.000000,-8.000000
4.599724,3.105472,0.000000,3.337679,-0.000000,-0.805900,0.000012,0.000004,0.010434,0.000001,8.000000,-8.000000
4.799712,3.244109,0.000000,3.481814,0.000000,-0.803763,0.000013,0.000005,0.010932,0.000001,8.000000,-8.000000
4.999699,3.383061,0.000000,3.625646,0.000000,-0.801527,0.000014,0.000003,0.011434,-0.000001,8.000000,-8.000000
5.199687,3.522341,0.000000,3.769159,0.000000,-0.799187,0.000015,0.000002,0.011961,-0.000001,8.000000,-8.000000
5.399675,3.661965,0.000000,3.912339,-0.000000,-0.796743,0.000015,0.000001,0.012484,-0.000001,8.000000,-8.000000
5.599663,3.801945,0.000000,4.055170,-0.000000,-0.794192,0.000015,0.000002,0.013032,0.000000,8.000000,-8.000000
5.799651,3.942297,0.000000,4.197635,-0.000000,-0.791529,0.000016,0.000003,0.013593,0.000000,8.000000,-8.000000
5.999639,4.083036,0.000000,4.339719,-0.000000,-0.788756,0.000017,0.000003,0.014141,-0.000000,8.000000,-8.000000
6.199627,4.224177,0.000000,4.481404,-0.000000,-0.785872,0.000017,0.000003,0.014705,0.000000,8.000000,-8.000000
6.399615,4.365733,0.000000,4.622673,0.000000,-0.782875,0.000018,0.000002,0.015259,-0.000000,8.000000,-8.000000
6.599603,4.507720,0.000000,4.763509,-0.000000,-0.779767,0.000018,0.000001,0.015829,-0.000001,8.000000,-8.000000
6.799591,4.650152,0.000000,4.903895,-0.000000,-0.776541,0.000018,0.000003,0.016427,-0.000000,8.000000,-8.000000
6.999579,4.793044,0.000000,5.043813,-0.000000,-0.773198,0.000019,0.000006,0.017011,0.000001,8.000000,-8.000000
7.199567,4.936412,0.000000,5.183243,0.000000,-0.769735,0.000020,0.000004,0.017620,-0.000000,8.000000,-8.000000
7.399555,5.080270,0.000000,5.322168,0.000000,-0.766150,0.000021,0.000002,0.018234,-0.000001,8.000000,-8.000000
7.599543,5.224634,0.000000,5.460567,-0.000000,-0.762441,0.000021,0.000000,0.018852,-0.000001,8.000000,-8.000000
7.799531,5.369519,0.000000,5.598420,-0.000000,-0.758606,0.000021,0.000002,0.019506,-0.000000,8.000000,-8.000000
7.999519,5.514940,0.000000,5.735707,-0.000000,-0.754641,0.000022,0.000003,0.020148,-0.000000,8.000000,-8.000000
8.199507,5.660914,0.000000,5.872407,0.000000,-0.750545,0.000022,0.000003,0.020812,-0.000000,8.000000,-8.000000
8.399495,5.807455,0.000000,6.008498,0.000000,-0.746315,0.000023,0.000003,0.021485,-0.000001,8.000000,-8.000000
8.599483,5.954579,0.000000,6.143959,0.000000,-0.741953,0.000024,0.000003,0.022143,-0.000001,8.000000,-8.000000
8.799471,6.102302,0.000000,6.278766,0.000000,-0.737454,0.000024,0.000003,0.022851,-0.000001,8.000000,-8.000000
8.999459,6.250640,0.000000,6.412897,0.000000,-0.732813,0.000025,0.000003,0.023560,-0.000001,8.000000,-8.000000
9.199447,6.399608,0.000000,6.546327,0.000000,-0.728030,0.000025,0.000003,0.024276,-0.000001,8.000000,-8.000000
9.399435,6.549222,0.000000,6.679033,0.000000,-0.723100,0.000026,0.000003,0.025020,-0.000001,8.000000,-8.000000
9.599423,6.699498,0.000000,6.810988,0.000000,-0.718025,0.000027,0.000003,0.025741,-0.000001,8.000000,-8.000000
9.799411,6.850452,0.000000,6.942167,0.000000,-0.712801,0.000027,0.000003,0.026499,-0.000001,8.000000,-8.000000
9.999399,7.002099,0.000000,7.072545,0.000000,-0.707425,0.000028,0.000003,0.027261,-0.000001,8.000000,-8.000000
10.199387,7.154454,0.000000,7.202094,0.000000,-0.701898,0.000028,0.000003,0.028022,-0.000001,8.000000,-8.000000
10.399375,7.307533,0.000000,7.330788,0.000000,-0.696212,0.000029,0.000003,0.028834,-0.000001,8.000000,-8.000000
10.599363,7.461351,0.000000,7.458596,0.000000,-0.690367,0.000030,0.000003,0.029625,-0.000001,8.000000,-8.000000
10.799351,7.615924,0.000000,7.585490,0.000000,-0.684360,0.000030,0.000003,0.030449,-0.000001,8.000000,-8.000000
10.999339,7.771267,0.000000,7.711441,0.000000,-0.678185,0.000031,0.000003,0.031298,-0.000001,8.000000,-8.000000
11.199327,7.927395,0.000000,7.836417,0.000000,-0.671845,0.000031,0.000003,0.032113,-0.000001,8.000000,-8.000000
11.399315,8.084323,0.000000,7.960388,0.000000,-0.665335,0.000032,0.000003,0.032984,-0.000001,8.000000,-8.000000
11.599303,8.242065,0.000000,8.083321,0.000000,-0.658653,0.000033,0.000004,0.033845,-0.000002,8.000000,-8.000000
11.799291,8.400636,0.000000,8.205183,-0.000000,-0.651799,0.000034,0.000004,0.034693,-0.000003,8.000000,-8.000000
11.999279,8.560048,0.000000,8.325942,-0.000001,-0.644773,0.000035,0.000005,0.035575,-0.000001,8.000000,-8.000000
12.199267,8.720315,-0.000000,8.445564,-0.000000,-0.637573,0.000036,0.000005,0.036432,0.000001,8.000000,-8.000000
12.399255,8.881450,-0.000000,8.564015,0.000000,-0.630196,0.000036,0.000004,0.037338,-0.000001,8.000000,-8.000000
12.599243,9.043465,-0.000000,8.681260,0.000000,-0.622638,0.000037,0.000003,0.038246,-0.000002,8.000000,-8.000000
12.799231,9.206371,-0.000000,8.797261,0.000000,-0.614900,0.000037,0.000003,0.039145,-0.000002,8.000000,-8.000000
12.999219,9.370181,0.000000,8.911984,0.000000,-0.606975,0.000038,0.000003,0.040104,-0.000002,8.000000,-8.000000
13.199207,9.534906,0.000000,9.025389,0.000000,-0.598865,0.000039,0.000003,0.041002,-0.000002,8.000000,-8.000000
13.399195,9.700555,0.000000,9.137440,0.000000,-0.590573,0.000039,0.000003,0.041918,-0.000001,8.000000,-8.000000
13.599183,9.867138,0.000000,9.248098,0.000000,-0.582097,0.000040,0.000002,0.042856,-0.000002,8.000000,-8.000000
13.799171,10.034662,0.000000,9.357325,0.000000,-0.573439,0.000040,0.000000,0.043727,-0.000002,8.000000,-8.000000
13.999159,10.203136,0.000000,9.465082,0.000000,-0.564601,0.000040,0.000002,0.044654,-0.000002,8.000000,-8.000000
14.199147,10.372565,0.000000,9.571330,0.000000,-0.555580,0.000041,0.000004,0.045559,-0.000002,8.000000,-8.000000
