s_m,ref_line_x_m,ref_line_y_m,ref_line_z_m,theta_rad,mu_rad,phi_rad,omega_x_radpm,omega_y_radpm,omega_z_radpm,track_width_left_m,track_width_right_m
0.000000,-0.038387,0.000002,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,7.999999,-8.000005
0.199891,0.161504,0.000002,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,7.999998,-8.000004
0.399782,0.361395,0.000002,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,7.999998,-8.000003
0.599673,0.561287,0.000002,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000,-0.000002,7.999999,-8.000003
0.799564,0.761178,0.000001,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000,-0.000003,8.000000,-8.000002
0.999456,0.961069,0.000001,0.000000,-0.000002,0.000000,0.000000,0.000000,0.000000,-0.000001,8.000000,-8.000002
1.199347,1.160960,0.000001,0.000000,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,7.999999,-8.000001
1.399238,1.360851,0.000000,0.000000,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,-8.000000
1.599129,1.560742,0.000000,0.000000,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,-8.000000
1.799020,1.760633,-0.000000,0.000000,-0.000002,0.000000,0.000000,0.000000,0.000000,-0.000001,8.000000,-8.000000
1.998911,1.960524,-0.000001,0.000000,-0.000002,0.000000,0.000000,0.000000,0.000000,-0.000003,8.000001,-7.999999
2.198802,2.160415,-0.000001,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000001,8.000001,-7.999999
2.398693,2.360306,-0.000002,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,8.000002,-7.999998
2.598584,2.560198,-0.000002,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,8.000002,-7.999998
2.798475,2.760089,-0.000003,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000003,-7.999997
2.998367,2.959980,-0.000003,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000003,-7.999997
3.198258,3.159871,-0.000004,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000004,-7.999996
3.398149,3.359762,-0.000004,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000004,-7.999996
3.598040,3.559653,-0.000005,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000005,-7.999995
3.797931,3.759544,-0.000005,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000005,-7.999995
3.997822,3.959435,-0.000006,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000006,-7.999994
4.197713,4.159326,-0.000006,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000006,-7.999994
4.397604,4.359218,-0.000007,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000007,-7.999993
4.597495,4.559109,-0.000008,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000008,-7.999992
4.797386,4.759000,-0.000008,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000008,-7.999992
4.997278,4.958891,-0.000009,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000009,-7.999991
5.197169,5.158782,-0.000009,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000009,-7.999991
5.397060,5.358673,-0.000010,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000010,-7.999990
5.596951,5.558564,-0.000010,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000010,-7.999990
5.796842,5.758455,-0.000011,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000011,-7.999989
5.996733,5.958346,-0.000011,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000011,-7.999989
6.196624,6.158237,-0.000012,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000012,-7.999988
6.396515,6.358129,-0.000013,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000013,-7.999987
6.596406,6.558020,-0.000013,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000013,-7.999987
6.796298,6.757911,-0.000014,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000014,-7.999986
6.996189,6.957802,-0.000014,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000014,-7.999986
7.196080,7.157693,-0.000015,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000015,-7.999985
7.395971,7.357584,-0.000016,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000016,-7.999984
7.595862,7.557475,-0.000016,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000016,-7.999984
7.795753,7.757366,-0.000017,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000017,-7.999983
7.995644,7.957257,-0.000017,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000017,-7.999983
8.195535,8.157149,-0.000018,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000018,-7.999982
8.395426,8.357040,-0.000019,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000019,-7.999981
8.595317,8.556931,-0.000019,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000,8.000019,-7.999981
