s_m,ref_line_x_m,ref_line_y_m,ref_line_z_m,theta_rad,mu_rad,phi_rad,omega_x_radpm,omega_y_radpm,omega_z_radpm,track_width_left_m,track_width_right_m
0.000000,-0.076749,0.000001,-0.000001,-0.000001,-0.000001,-0.523599,-0.000000,0.000001,-0.000002,7.999999,-8.000003
0.199892,0.123143,0.000000,-0.000001,-0.000001,-0.000001,-0.523599,-0.000000,0.000000,-0.000001,7.999999,-8.000003
0.399784,0.323035,0.000000,-0.000001,-0.000001,-0.000001,-0.523599,0.000000,-0.000000,0.000000,7.999999,-8.000002
0.599676,0.522927,-0.000000,-0.000000,-0.000001,-0.000001,-0.523599,0.000000,-0.000000,0.000000,7.999999,-8.000001
0.799567,0.722819,-0.000000,-0.000000,-0.000001,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,7.999999,-8.000001
0.999459,0.922710,-0.000000,-0.000000,-0.000001,-0.000001,-0.523599,0.000000,-0.000000,0.000000,8.000000,-8.000000
1.199351,1.122602,-0.000001,0.000000,-0.000001,-0.000001,-0.523599,0.000000,-0.000000,0.000000,8.000001,-7.999999
1.399243,1.322494,-0.000001,0.000000,-0.000001,-0.000001,-0.523599,-0.000000,0.000000,-0.000000,8.000001,-7.999999
1.599135,1.522386,-0.000001,0.000001,-0.000001,-0.000001,-0.523599,-0.000000,0.000001,-0.000002,8.000001,-7.999999
1.799027,1.722278,-0.000001,0.000001,-0.000002,-0.000001,-0.523599,-0.000000,0.000001,-0.000002,8.000002,-7.999998
1.998919,1.922170,-0.000002,0.000001,-0.000002,-0.000001,-0.523599,-0.000000,0.000000,-0.000000,8.000002,-7.999998
2.198810,2.122062,-0.000002,0.000001,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,0.000000,8.000002,-7.999998
2.398702,2.321953,-0.000003,0.000001,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000003,-7.999997
2.598594,2.521845,-0.000003,0.000002,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000003,-7.999997
2.798486,2.721737,-0.000003,0.000002,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000004,-7.999996
2.998378,2.921629,-0.000004,0.000002,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000004,-7.999996
3.198270,3.121521,-0.000004,0.000002,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000005,-7.999995
3.398162,3.321413,-0.000005,0.000003,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000005,-7.999995
3.598053,3.521305,-0.000005,0.000003,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000006,-7.999994
3.797945,3.721196,-0.000005,0.000003,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000006,-7.999994
3.997837,3.921088,-0.000006,0.000003,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000007,-7.999993
4.197729,4.120980,-0.000006,0.000004,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000007,-7.999993
4.397621,4.320872,-0.000007,0.000004,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000008,-7.999992
4.597513,4.520764,-0.000007,0.000004,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000008,-7.999992
4.797405,4.720656,-0.000007,0.000004,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000008,-7.999992
4.997297,4.920548,-0.000008,0.000004,-0.000002,-0.000001,-0.523599,0.000000,-0.000000,-0.000000,8.000009,-7.999991
5.197188,5.120439,-0.000008,0.000005,-0.000002,-0.000001,-0.523599,-0.000000,0.000000,-0.000000,8.000009,-7.999991
5.397080,5.320331,-0.000009,0.000005,-0.000002,-0.000001,-0.523599,-0.000000,0.000000,-0.000000,8.000010,-7.999990
5.596972,5.520223,-0.000009,0.000005,-0.000002,-0.000001,-0.523599,-0.000000,0.000000,-0.000000,8.000010,-7.999990
5.796864,5.720115,-0.000009,0.000005,-0.000002,-0.000001,-0.523599,-0.000000,0.000000,-0.000000,8.000011,-7.999989
5.996756,5.920007,-0.000010,0.000006,-0.000002,-0.000001,-0.523599,-0.000000,0.000000,-0.000000,8.000011,-7.999989
