s_m,ref_line_x_m,ref_line_y_m,ref_line_z_m,theta_rad,mu_rad,phi_rad,omega_x_radpm,omega_y_radpm,omega_z_radpm,track_width_left_m,track_width_right_m
0.000000,-0.076726,-0.000001,-0.000000,0.000002,0.000000,-1.570796,0.000000,-0.000001,0.000000,8.000000,-8.000000
0.199921,0.123195,-0.000001,-0.000000,0.000002,0.000000,-1.570796,-0.000000,0.000000,0.000000,8.000000,-8.000000
0.399841,0.323115,-0.000001,-0.000000,0.000002,0.000000,-1.570796,0.000000,0.000001,-0.000000,8.000000,-8.000000
0.599762,0.523036,-0.000000,-0.000000,0.000001,0.000000,-1.570796,-0.000000,0.000002,-0.000000,8.000000,-8.000000
0.799682,0.722956,-0.000000,-0.000000,0.000001,0.000000,-1.570796,0.000000,0.000002,-0.000000,8.000000,-8.000000
0.999603,0.922877,0.000000,-0.000000,0.000000,0.000000,-1.570796,-0.000000,0.000002,-0.000000,8.000000,-8.000000
1.199523,1.122797,0.000000,-0.000000,0.000000,0.000000,-1.570796,0.000000,0.000001,-0.000000,8.000000,-8.000000
1.399444,1.322718,0.000000,-0.000000,-0.000000,0.000000,-1.570796,0.000000,0.000001,0.000000,8.000000,-8.000000
1.599365,1.522638,0.000000,-0.000000,-0.000000,0.000000,-1.570796,-0.000000,0.000000,0.000000,8.000000,-8.000000
1.799285,1.722559,0.000000,-0.000000,-0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,8.000000,-8.000000
1.999206,1.922480,0.000000,-0.000000,-0.000000,0.000000,-1.570796,-0.000000,-0.000000,0.000000,8.000000,-8.000000
2.199126,2.122400,0.000000,-0.000000,-0.000000,0.000000,-1.570796,0.000000,-0.000000,0.000000,8.000000,-8.000000
2.399047,2.322321,-0.000000,-0.000000,-0.000000,0.000000,-1.570796,0.000000,-0.000000,0.000000,8.000000,-8.000000
2.598967,2.522241,-0.000000,-0.000000,-0.000000,0.000000,-1.570796,-0.000000,-0.000000,0.000000,8.000000,-8.000000
2.798888,2.722162,-0.000000,-0.000000,0.000000,0.000000,-1.570796,-0.000000,-0.000000,0.000000,8.000000,-8.000000
2.998808,2.922082,-0.000000,-0.000000,0.000000,0.000000,-1.570796,0.000000,-0.000000,0.000000,8.000000,-8.000000
3.198729,3.122003,-0.000000,-0.000000,0.000000,0.000000,-1.570796,-0.000000,0.000000,0.000000,8.000000,-8.000000
3.398650,3.321924,-0.000000,-0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,8.000000,-8.000000
3.598570,3.521844,-0.000000,-0.000000,0.000000,0.000000,-1.570796,-0.000000,0.000000,0.000000,8.000000,-8.000000
3.798491,3.721765,0.000000,-0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,8.000000,-8.000000
3.998411,3.921685,0.000000,-0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,8.000000,-8.000000
4.198332,4.121606,0.000000,-0.000000,-0.000000,0.000000,-1.570796,-0.000000,0.000000,0.000000,8.000000,-8.000000
4.398252,4.321526,0.000000,-0.000000,-0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,8.000000,-8.000000
4.598173,4.521447,0.000000,-0.000000,-0.000000,0.000000,-1.570796,-0.000000,-0.000000,0.000000,8.000000,-8.000000
4.798094,4.721368,0.000000,-0.000000,-0.000000,0.000000,-1.570796,-0.000000,-0.000000,0.000000,8.000000,-8.000000
4.998014,4.921288,0.000000,-0.000000,-0.000000,0.000000,-1.570796,0.000000,-0.000000,0.000000,8.000000,-8.000000
5.197935,5.121209,-0.000000,-0.000000,-0.000000,0.000000,-1.570796,0.000000,-0.000000,0.000000,8.000000,-8.000000
5.397855,5.321129,-0.000000,-0.000000,-0.000000,0.000000,-1.570796,-0.000000,-0.000000,0.000000,8.000000,-8.000000
5.597776,5.521050,-0.000000,-0.000000,0.000000,0.000000,-1.570796,0.000000,-0.000000,0.000000,8.000000,-8.000000
5.797696,5.720970,-0.000000,-0.000000,0.000000,0.000000,-1.570796,0.000000,-0.000000,0.000000,8.000000,-8.000000
5.997617,5.920891,-0.000000,-0.000000,0.000000,0.000000,-1.570796,-0.000000,0.000000,0.000000,8.000000,-8.000000
6.197538,6.120811,-0.000000,-0.000000,0.000000,0.000000,-1.570796,0.000000,0.000000,0.000000,8.000000,-8.000000
